ID,Row,UID,Gen,Geno,F1Num,Scale,Photo,biomass,max_width,width_0,width_10,width_20,width_30,width_40,width_50,width_60,width_70,width_80,width_90,width_100,length,length_width_ratio,shoulder_top,shoulder_bottom,tip_angle_top,tip_angle_bottom,above_tipangle_top,above_tipangle_bottom,created,modified,type
1017,1204,1037-MAP-2024,F2,1592-ConicalxRound-F2,1592,944,1,3152.5952,51.9969,35.79,47.23,51.68,49.67,43.42,36.32,27.32,20.44,16.1,13.56,0.21,95.6277,1.84,66.7169,40.0593,4.763641691,41.18592517,0.1794,70.2944,10/22/24 9:31,10/22/24 11:17,binary
1018,1204,1038-MAP-2024,F2,1592-ConicalxRound-F2,1592,954,1,1143.5102,34.1648,28.09,31.75,34.06,32.49,27.04,19.81,13.94,8.38,7.02,5.66,0.31,58.5832,1.71,21.8892,18.5833,12.66506377,19.7760766,14.1352,4.8655,10/22/24 9:31,10/22/24 11:17,binary
1019,1204,1039-MAP-2024,F2,1592-ConicalxRound-F2,1592,945,1,1778.5575,40.6272,26.13,32.06,31.21,23.28,17.35,13.01,10.69,9.52,8.57,7.83,0.85,104.213,2.57,13.6674,34.163,8.282349417,30.21132239,34.163,14.9099,10/22/24 9:31,10/22/24 11:17,binary
1020,1204,1040-MAP-2024,F2,1592-ConicalxRound-F2,1592,945,1,2151.4848,45.2824,9.42,39.36,45.07,43.06,37.56,30.26,22.54,18.41,14.28,10.47,0.21,77.3398,1.71,62.5613,49.599,19.74683661,32.31247863,0.0336,54.513,10/22/24 9:31,10/22/24 11:17,binary
1021,1204,1041-MAP-2024,F2,1592-ConicalxRound-F2,1592,928,1,4408.8189,60.0446,13.15,55.19,58.86,54.87,50.23,42.69,32.12,21.34,16.71,12.61,3.13,119.0112,1.98,101.5313,75.7214,6.766174823,22.41268947,47.4014,3.37,10/22/24 9:31,10/22/24 11:17,binary
1022,1204,1042-MAP-2024,F2,1592-ConicalxRound-F2,1592,945,1,4305.2642,71.3092,43.17,60.09,69.62,70.15,61.68,46.87,31.42,19.68,16.4,13.54,2.54,102.8376,1.44,143.3681,112.0707,14.38139459,27.43972795,34.8234,34.0958,10/22/24 9:31,10/22/24 11:17,binary
1023,1204,1043-MAP-2024,F2,1592-ConicalxRound-F2,1592,944,1,2446.365,44.1603,29.44,39.71,43.74,41.62,34.84,26.05,15.78,10.91,8.47,7.84,0.21,98.487,2.23,56.7021,43.0649,18.55023193,9.524667972,47.3489,4.4074,10/22/24 9:31,10/22/24 11:17,binary
1024,1204,1044-MAP-2024,F2,1592-ConicalxRound-F2,1592,926,1,6625.7469,82.404,16.42,76.46,81.86,73.12,53.03,36.94,25.16,17.93,15.44,9.5,1.94,156.708,1.9,186.9506,110.9713,10.7388971,14.26844394,52.5463,10.7425,10/22/24 9:31,10/22/24 11:17,binary
1025,1204,1045-MAP-2024,F2,1592-ConicalxRound-F2,1592,946,1,2809.4343,50.8417,10.99,44.92,50,49.68,46.51,39.64,30.97,20.61,13.42,9.62,0.63,86.8854,1.71,68.7108,72.2078,22.9887168,14.03624347,3.8322,24.1214,10/22/24 9:31,10/22/24 11:17,binary
1026,1204,1046-MAP-2024,F2,1592-ConicalxRound-F2,1592,946,1,1097.9876,29.0675,8.77,23.89,28.43,28.43,23.89,18.81,15.12,12.37,9.94,8.35,1.06,60.7775,2.09,39.64,35.6849,34.40266485,9.260221531,10.6586,14.2002,10/22/24 9:31,10/22/24 11:17,binary
1027,1205,1047-MAP-2024,F2,1592-ConicalxRound-F2,1592,948,1,5141.1738,67.942,6.22,62.46,66.36,52.96,36.92,26.27,21.21,15.09,9.6,8.23,1.27,158.9885,2.34,128.2984,166.7311,29.25606522,14.87221205,4.2518,71.5675,10/22/24 9:31,10/22/24 11:17,binary
1028,1205,1048-MAP-2024,F2,1592-ConicalxRound-F2,1592,943,1,4737.9403,64.342,29.47,53.42,63.6,62.75,54.7,42.51,28.2,19.5,13.78,9.22,1.48,128.578,2,186.2592,156.4051,8.501879411,17.72323662,12,29.1462,10/22/24 9:31,10/22/24 11:17,binary
1029,1205,1049-MAP-2024,F2,1592-ConicalxRound-F2,1592,949,1,1224.8627,33.9388,14.33,31.09,33.83,32.36,29.2,24.35,17.6,9.91,6.85,5.9,0.21,59.9726,1.77,27.9284,32.672,24.25391972,10.58163552,5.4546,12.1201,10/22/24 9:31,10/22/24 11:17,binary
1030,1205,1050-MAP-2024,F2,1592-ConicalxRound-F2,1592,946,1,763.7626,26.3193,6.24,17.55,15.01,11.42,8.77,7.82,6.87,6.34,5.92,5.18,1.27,80.7548,3.07,8.0777,4.4802,26.1881107,7.932758314,0.0894,21.0043,10/22/24 9:31,10/22/24 11:17,binary
1031,1205,1051-MAP-2024,F2,1592-ConicalxRound-F2,1592,953,1,4117.0953,65.1429,36.92,50.56,62.31,64.83,60.74,50.14,30.95,16.57,11.64,8.71,0.73,109.5156,1.68,179.2993,169.5938,5.13255444,24.75337992,5.2819,28.6985,10/22/24 9:31,10/22/24 11:17,binary
1032,1205,1052-MAP-2024,F2,1592-ConicalxRound-F2,1592,930,1,2678.577,52.1375,8.38,49.02,51.81,46.01,35.15,23.22,15.7,12.04,8.71,6.77,0.54,99.975,1.92,63.282,51.9916,14.6678249,12.12101545,20.651,10.9091,10/22/24 9:31,10/22/24 11:17,binary
